model,optimal_threshold,optimal_total_cost,optimal_precision,optimal_recall,optimal_f1_score,false_negatives,false_positives
LogisticRegression,0.05,36800.0,0.361028684470821,0.9759358288770054,0.5270758122743683,9,646
MLP,0.05,36900.0,0.3545893719806763,0.9812834224598931,0.5209368346344926,7,668
