experiment_name,run_id,run_name,status,start_time,param.model_type,param.dataset_version,param.strategy,param.random_seed,param.target_column,param.test_size,metric.recall,metric.accuracy,metric.brier_score,metric.precision,metric.f1_score,metric.roc_auc,metric.pr_auc,param.lr,param.max_epochs,param.num_features,param.optimizer,param.dropout_rate,param.weight_decay,param.batch_size,param.input_dim,param.scaling,param.hidden_dims,param.early_stopping_patience,param.cv_folds,param.use_batch_norm,param.preprocessing,param.scaling_fit_on,metric.test_pct_medium,metric.cv_recall_mean,metric.test_expected_calibration_error,metric.test_pr_auc,metric.optimal_threshold_cost,metric.val_loss,metric.test_accuracy,metric.test_churn_rate_high,metric.test_cost_fn,metric.val_f1,metric.cv_precision_std,metric.test_f1_score,metric.cv_f1_score_mean,metric.test_pct_high,metric.test_precision,metric.cv_roc_auc_std,metric.test_recall_at_250,metric.optimal_threshold_total_cost,metric.test_precision_at_100,metric.cv_brier_score_std,metric.test_precision_at_281,metric.test_recall_at_100,metric.test_recall_at_281,metric.cv_accuracy_std,metric.test_cost_fp,metric.test_capture_high,metric.cv_accuracy_mean,metric.test_capture_medium_high,metric.test_pct_low,metric.test_recall,metric.test_precision_at_140,metric.test_churn_rate_low,metric.cv_roc_auc_mean,metric.cv_brier_score_mean,metric.cv_pr_auc_std,metric.val_auc,metric.train_loss,metric.cv_pr_auc_mean,metric.cv_f1_score_std,metric.test_roc_auc,metric.test_precision_at_250,metric.test_total_cost,metric.cv_precision_mean,metric.cv_recall_std,metric.test_churn_rate_medium,metric.test_brier_score,metric.test_precision_at_500,metric.test_recall_at_70,metric.test_recall_at_500,metric.test_precision_at_70,metric.test_recall_at_140,metric.best_pr_auc,param.best_optimizer,param.best_hidden_dims,param.best_use_batch_norm,param.best_weight_decay,param.best_batch_size,param.best_lr,param.best_early_stopping_patience,param.best_scheduler_patience,param.n_trials,param.best_max_epochs,param.tuning_framework,param.best_dropout_rate,param.best_pos_weight,param.original_features,param.encoding,param.imbalance_handling,param.encoded_features,param.imputation,param.max_iter,metric.cv_f1_mean,metric.cv_f1_std
tech-challenge-dummy-baseline,a0c3b2a97b2f4690a105362fb366e9d2,dummy_stratified,FINISHED,2026-05-02 20:56:13,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,ef9eae1c4b69430d9dcb114936ecbcaa,dummy_most_frequent,FINISHED,2026-05-02 20:56:10,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,dffc0422bb2c4f21b70115a61d36ac17,dummy_uniform,FINISHED,2026-05-02 20:39:12,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,c0d392040dd148eea6dea1d879390551,dummy_stratified,FINISHED,2026-05-02 20:39:12,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,1564af85e1c44725a3ceb9dab4e41378,dummy_most_frequent,FINISHED,2026-05-02 20:39:10,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,78ac15aafdd34a30b4dd1ce2dc1a423e,dummy_uniform,FINISHED,2026-05-02 20:18:37,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,8b0a320751834bc9b30376e9a5b24f69,dummy_stratified,FINISHED,2026-05-02 20:18:36,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,98f3af6ef93344c2afc6309f487b1def,dummy_most_frequent,FINISHED,2026-05-02 20:18:35,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,1f9dfbb8f27d4afeb4ed8de5e9a044d8,dummy_uniform,FINISHED,2026-05-02 20:15:51,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,469b150e6a9c454c8d782ecdf25dd6a9,dummy_stratified,FINISHED,2026-05-02 20:15:50,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
